Filename,Predictions,Truth,Accuracy
12,-1,-1,99.23329682365826
19,1,1,
31,1,1,
35,-1,-1,
45,-1,-1,
48,1,1,
51,1,1,
54,1,1,
56,1,1,
65,1,1,
68,-1,-1,
69,-1,-1,
72,1,1,
74,-1,-1,
87,1,1,
88,1,1,
91,1,1,
95,-1,-1,
114,-1,-1,
115,1,1,
118,-1,-1,
121,-1,-1,
123,-1,-1,
127,-1,-1,
130,-1,-1,
139,1,1,
140,-1,-1,
141,-1,-1,
152,-1,-1,
159,-1,-1,
171,1,1,
185,1,1,
196,-1,-1,
211,-1,-1,
213,-1,-1,
216,-1,1,
226,1,1,
231,-1,-1,
235,-1,-1,
239,-1,-1,
243,1,1,
245,1,1,
246,1,1,
249,-1,-1,
254,1,1,
255,-1,-1,
258,1,1,
263,-1,-1,
271,-1,-1,
276,-1,-1,
281,1,1,
303,-1,-1,
311,-1,1,
317,-1,-1,
320,-1,-1,
325,1,1,
331,1,1,
334,-1,-1,
340,-1,-1,
345,1,1,
357,1,1,
380,1,1,
384,-1,-1,
403,-1,-1,
404,1,1,
408,-1,-1,
411,1,1,
416,-1,-1,
418,-1,-1,
424,1,1,
425,-1,-1,
435,-1,-1,
438,-1,-1,
439,1,1,
445,1,1,
447,-1,-1,
448,1,1,
457,1,1,
460,1,1,
462,-1,-1,
463,1,1,
473,-1,-1,
482,-1,-1,
491,-1,-1,
492,-1,-1,
495,1,1,
501,1,1,
507,1,1,
508,-1,-1,
510,1,1,
521,1,1,
530,1,1,
534,-1,-1,
540,-1,-1,
541,-1,-1,
546,1,1,
556,1,1,
558,1,1,
570,-1,-1,
573,1,1,
576,-1,-1,
577,1,1,
585,-1,-1,
602,1,1,
603,1,1,
605,-1,-1,
609,-1,-1,
617,-1,-1,
618,-1,-1,
624,1,1,
637,1,1,
647,-1,-1,
648,-1,-1,
649,1,1,
653,1,1,
654,-1,-1,
658,1,1,
662,-1,-1,
666,-1,-1,
671,-1,-1,
674,-1,-1,
675,1,1,
680,1,1,
696,1,1,
701,-1,-1,
713,-1,-1,
715,-1,-1,
727,1,1,
729,-1,-1,
730,-1,-1,
732,1,1,
734,-1,-1,
736,1,1,
737,-1,-1,
752,-1,-1,
763,1,1,
781,-1,-1,
784,1,1,
786,-1,-1,
795,1,1,
797,-1,-1,
798,-1,-1,
804,-1,-1,
808,1,1,
812,1,1,
823,-1,-1,
830,-1,-1,
832,-1,-1,
833,-1,-1,
838,1,1,
839,1,1,
840,-1,-1,
845,-1,-1,
846,1,1,
854,-1,-1,
857,1,1,
860,-1,-1,
870,-1,-1,
898,-1,-1,
903,-1,-1,
916,-1,-1,
923,-1,-1,
927,1,1,
932,1,1,
933,-1,-1,
934,-1,-1,
936,1,1,
942,1,1,
944,-1,-1,
949,-1,-1,
961,1,1,
966,1,1,
969,-1,-1,
986,-1,-1,
987,1,1,
990,-1,-1,
998,-1,-1,
999,1,1,
1001,-1,-1,
1008,1,1,
1013,1,1,
1017,-1,-1,
1023,-1,-1,
1028,-1,-1,
1032,-1,-1,
1044,1,1,
1066,-1,-1,
1074,-1,-1,
1075,-1,-1,
1084,1,1,
1086,1,1,
1092,-1,-1,
1095,-1,-1,
1103,-1,1,
1112,-1,-1,
1116,1,1,
1137,1,1,
1145,1,1,
1150,-1,-1,
1168,-1,-1,
1173,1,1,
1177,-1,-1,
1184,-1,-1,
1188,-1,-1,
1202,1,1,
1207,-1,-1,
1211,1,1,
1212,-1,-1,
1228,-1,-1,
1230,1,1,
1232,-1,-1,
1242,-1,-1,
1244,1,1,
1246,1,1,
1252,-1,-1,
1254,1,1,
1259,1,1,
1268,-1,-1,
1280,1,1,
1284,-1,-1,
1289,1,1,
1290,-1,-1,
1292,-1,-1,
1299,-1,-1,
1307,-1,-1,
1334,-1,-1,
1339,1,1,
1340,1,1,
1349,-1,-1,
1350,-1,-1,
1355,-1,-1,
1361,1,1,
1362,-1,-1,
1369,-1,-1,
1373,-1,-1,
1376,-1,-1,
1377,-1,-1,
1382,1,1,
1384,1,1,
1385,-1,-1,
1388,1,1,
1395,1,1,
1405,-1,-1,
1409,-1,-1,
1415,-1,-1,
1425,-1,-1,
1428,-1,-1,
1429,-1,-1,
1434,-1,-1,
1441,-1,-1,
1448,-1,-1,
1452,-1,-1,
1455,-1,-1,
1461,-1,-1,
1464,-1,-1,
1472,1,1,
1473,-1,-1,
1474,-1,-1,
1478,1,1,
1484,-1,-1,
1494,1,1,
1501,-1,-1,
1502,1,1,
1504,-1,-1,
1511,-1,-1,
1521,1,1,
1523,-1,-1,
1531,1,1,
1532,-1,-1,
1537,1,1,
1541,1,1,
1550,-1,-1,
1554,-1,-1,
1559,-1,1,
1560,1,1,
1563,-1,-1,
1564,-1,-1,
1566,1,1,
1579,-1,-1,
1582,-1,-1,
1587,1,1,
1592,-1,-1,
1594,-1,-1,
1604,1,1,
1611,-1,-1,
1618,-1,-1,
1631,1,1,
1632,1,1,
1653,1,1,
1656,1,1,
1663,-1,-1,
1665,-1,-1,
1675,1,1,
1681,-1,-1,
1685,-1,-1,
1686,1,1,
1688,-1,-1,
1690,1,1,
1704,1,1,
1709,-1,-1,
1724,1,1,
1726,-1,-1,
1741,1,1,
1749,-1,-1,
1755,1,1,
1758,1,1,
1761,-1,-1,
1768,-1,-1,
1782,1,1,
1787,-1,-1,
1789,1,1,
1801,1,1,
1804,-1,-1,
1805,1,1,
1806,-1,-1,
1810,1,1,
1818,1,1,
1820,1,1,
1838,-1,-1,
1844,-1,-1,
1847,-1,-1,
1860,1,1,
1862,-1,-1,
1863,-1,-1,
1866,-1,-1,
1868,1,1,
1872,1,1,
1876,1,1,
1882,-1,-1,
1892,-1,-1,
1904,-1,-1,
1905,-1,-1,
1911,-1,-1,
1915,1,1,
1916,1,1,
1920,-1,-1,
1926,-1,-1,
1927,1,1,
1932,-1,-1,
1934,1,1,
1940,-1,-1,
1945,-1,-1,
1952,-1,-1,
1960,-1,-1,
1964,-1,-1,
1968,-1,-1,
1975,-1,-1,
1976,1,1,
1977,-1,-1,
1980,-1,-1,
1983,-1,-1,
1985,1,1,
1986,1,1,
1993,1,1,
1997,-1,-1,
2015,1,1,
2018,-1,-1,
2026,-1,-1,
2028,1,1,
2029,-1,-1,
2034,1,1,
2038,-1,-1,
2041,1,1,
2052,1,1,
2062,1,1,
2064,1,1,
2090,-1,-1,
2099,1,1,
2100,1,1,
2102,-1,-1,
2105,-1,-1,
