Filename,Predictions,Truth,Accuracy
1,1,1,89.04709748083242
16,1,1,
17,1,1,
20,-1,-1,
37,1,1,
42,1,1,
49,-1,-1,
50,1,1,
57,1,1,
65,1,1,
66,1,1,
88,1,1,
89,1,1,
90,-1,1,
93,-1,-1,
94,1,1,
100,1,1,
101,1,1,
106,1,1,
112,1,1,
119,-1,1,
121,1,1,
128,-1,-1,
130,1,1,
133,1,1,
139,-1,-1,
146,1,1,
150,1,1,
152,1,1,
154,1,1,
161,1,1,
168,1,1,
171,-1,-1,
181,1,-1,
183,1,1,
189,-1,-1,
194,1,1,
201,1,1,
206,-1,1,
215,1,1,
216,1,1,
223,-1,-1,
226,1,1,
230,1,1,
236,1,1,
238,1,1,
241,1,1,
244,-1,-1,
249,1,1,
257,1,1,
258,-1,-1,
270,1,1,
271,1,1,
273,1,1,
280,1,1,
284,-1,-1,
286,1,1,
303,1,1,
309,1,1,
315,1,1,
318,1,1,
321,1,1,
323,1,-1,
329,1,1,
335,1,1,
338,-1,-1,
346,1,1,
351,1,1,
360,-1,-1,
373,-1,-1,
399,1,1,
400,1,1,
401,-1,1,
403,1,1,
404,1,1,
405,1,1,
425,1,1,
428,1,1,
433,1,1,
437,-1,-1,
446,1,1,
448,-1,1,
459,1,1,
465,1,1,
468,1,1,
477,1,1,
479,1,1,
483,1,1,
492,1,1,
493,-1,1,
499,1,-1,
507,1,1,
518,1,1,
520,1,1,
523,1,1,
526,1,1,
552,-1,1,
554,1,1,
560,-1,-1,
562,1,1,
567,1,1,
572,1,1,
577,1,1,
580,-1,-1,
581,1,1,
585,1,1,
589,1,1,
601,1,1,
608,1,1,
617,1,1,
629,-1,1,
632,1,1,
633,1,1,
647,1,1,
656,1,1,
660,1,1,
673,-1,-1,
676,-1,-1,
679,1,1,
680,1,1,
681,1,1,
685,1,1,
687,-1,1,
694,1,1,
696,1,1,
698,-1,-1,
700,1,1,
720,1,1,
723,1,1,
724,1,1,
727,-1,-1,
732,-1,-1,
735,-1,1,
750,1,-1,
751,-1,1,
764,1,1,
766,1,1,
772,1,1,
774,1,1,
775,1,1,
782,1,1,
788,-1,1,
793,1,1,
796,1,1,
797,1,1,
811,1,1,
815,1,1,
820,1,1,
838,-1,1,
842,-1,-1,
844,1,1,
860,1,1,
864,-1,-1,
866,1,1,
869,1,1,
882,1,1,
899,1,1,
917,1,1,
922,1,1,
936,1,-1,
941,1,1,
943,1,1,
945,1,-1,
948,-1,1,
950,1,1,
959,-1,-1,
961,1,1,
964,1,1,
965,1,1,
966,1,1,
967,1,1,
969,1,1,
970,1,-1,
976,1,1,
980,1,1,
993,1,1,
1013,-1,-1,
1018,-1,1,
1020,1,1,
1021,-1,-1,
1026,1,1,
1030,1,1,
1033,1,1,
1039,1,1,
1047,1,1,
1053,1,1,
1055,1,1,
1057,1,1,
1062,1,1,
1070,1,1,
1071,1,1,
1072,1,1,
1078,1,-1,
1082,1,1,
1104,1,1,
1111,-1,-1,
1115,1,1,
1117,1,1,
1121,1,1,
1130,1,1,
1142,1,1,
1155,1,1,
1156,1,1,
1160,-1,-1,
1162,-1,-1,
1165,1,1,
1171,1,1,
1175,1,1,
1176,1,1,
1180,1,1,
1182,-1,1,
1186,1,1,
1189,1,1,
1190,1,1,
1192,1,1,
1197,1,1,
1199,-1,-1,
1201,-1,-1,
1207,1,1,
1209,1,1,
1214,1,1,
1221,1,1,
1228,1,1,
1231,1,1,
1241,1,1,
1245,1,-1,
1247,1,1,
1262,1,1,
1267,1,-1,
1269,-1,-1,
1270,1,1,
1275,1,1,
1283,1,1,
1291,1,1,
1295,-1,1,
1305,1,1,
1306,-1,-1,
1313,1,-1,
1322,1,1,
1324,1,1,
1329,1,1,
1332,1,1,
1333,1,1,
1339,-1,1,
1348,1,1,
1349,1,1,
1351,-1,1,
1359,1,1,
1363,1,1,
1367,1,1,
1369,1,1,
1373,1,1,
1375,1,1,
1378,1,1,
1379,1,1,
1380,1,1,
1382,1,1,
1384,1,-1,
1385,1,1,
1389,1,1,
1391,1,1,
1394,1,1,
1401,-1,-1,
1405,1,1,
1407,-1,-1,
1414,1,-1,
1416,1,1,
1417,1,1,
1419,-1,-1,
1425,1,1,
1428,1,1,
1429,1,1,
1434,1,1,
1435,1,1,
1436,1,1,
1441,1,1,
1455,1,1,
1463,1,1,
1473,1,1,
1477,1,1,
1478,1,1,
1492,1,-1,
1499,1,1,
1500,-1,-1,
1513,1,1,
1515,1,1,
1523,1,1,
1527,1,1,
1532,1,1,
1536,1,-1,
1547,-1,-1,
1552,1,1,
1554,1,1,
1560,-1,-1,
1561,1,1,
1565,-1,-1,
1574,1,1,
1584,1,1,
1588,-1,-1,
1607,1,1,
1609,1,1,
1611,1,1,
1620,1,1,
1622,-1,-1,
1628,-1,-1,
1630,1,1,
1632,-1,-1,
1636,-1,1,
1637,-1,1,
1648,1,1,
1650,1,1,
1657,1,1,
1662,1,1,
1668,1,1,
1670,1,1,
1673,1,1,
1675,-1,-1,
1691,1,1,
1695,1,1,
1704,-1,-1,
1708,1,1,
1720,1,1,
1733,1,1,
1751,1,1,
1756,1,1,
1757,1,1,
1765,1,1,
1770,1,1,
1771,1,1,
1777,1,1,
1778,1,1,
1785,1,1,
1796,1,1,
1816,1,1,
1818,-1,-1,
1824,1,1,
1826,-1,-1,
1831,1,1,
1832,1,1,
1833,1,1,
1836,1,1,
1837,-1,1,
1841,1,-1,
1842,1,1,
1849,1,1,
1858,1,1,
1860,1,-1,
1861,1,1,
1872,-1,1,
1876,1,-1,
1878,1,1,
1880,1,1,
1920,1,1,
1921,1,1,
1923,1,1,
1927,1,1,
1930,1,1,
1931,1,1,
1936,1,1,
1937,1,1,
1941,1,1,
1947,1,-1,
1950,1,1,
1958,1,1,
1960,1,1,
1962,1,1,
1968,1,1,
1971,1,1,
1974,1,1,
1979,-1,-1,
1987,1,1,
1996,1,1,
1997,1,1,
2003,1,1,
2013,1,1,
2016,1,1,
2026,1,1,
2044,-1,-1,
2047,1,1,
2052,1,-1,
2079,1,1,
2081,1,1,
2086,-1,-1,
2091,-1,-1,
2094,-1,1,
2099,-1,1,
2107,1,1,
2108,1,1,
2110,1,1,
2111,-1,-1,
2114,-1,-1,
2117,1,1,
2118,1,1,
2123,1,1,
2132,1,1,
2147,-1,-1,
2156,-1,-1,
2166,1,1,
2167,1,1,
2174,1,1,
2176,1,1,
2179,1,1,
2181,1,1,
2184,1,1,
2186,1,1,
2205,1,1,
2206,1,1,
2208,1,1,
2211,-1,-1,
2217,-1,-1,
2220,-1,-1,
2224,1,1,
2232,1,1,
2242,1,-1,
2251,1,1,
2259,1,1,
2261,-1,-1,
2268,1,1,
2270,1,1,
2273,1,1,
2276,1,1,
2290,1,1,
2292,-1,-1,
2299,1,1,
2303,1,1,
2304,1,1,
2305,1,1,
2323,1,-1,
2329,1,1,
2338,1,1,
2350,1,1,
2357,1,1,
2362,1,1,
2363,-1,1,
2364,-1,1,
2365,1,1,
2368,1,1,
2385,1,-1,
2387,1,1,
2401,-1,-1,
2411,-1,-1,
2413,1,1,
2417,1,1,
2418,1,1,
2421,1,1,
2433,-1,-1,
2436,1,1,
2458,1,1,
2464,1,1,
2467,1,1,
2475,1,1,
2490,1,1,
2497,1,1,
2500,1,-1,
2502,1,1,
2505,-1,-1,
2511,-1,-1,
2516,1,1,
2530,1,1,
2535,-1,-1,
2543,1,1,
2546,-1,1,
2554,1,-1,
2559,1,1,
2568,-1,1,
2570,-1,-1,
2573,1,1,
2579,1,1,
2584,1,1,
2592,1,1,
2593,-1,1,
2605,1,1,
2606,1,1,
2616,1,1,
2624,1,1,
2625,-1,-1,
2627,1,1,
2632,-1,-1,
2636,1,1,
2640,1,1,
2643,1,1,
2644,1,1,
2647,1,1,
2650,1,1,
2655,-1,-1,
2656,1,1,
2666,1,1,
2671,1,1,
2677,-1,-1,
2678,1,-1,
2684,1,1,
2695,1,1,
2705,1,1,
2711,-1,-1,
2717,1,1,
2721,-1,1,
2728,1,1,
2730,-1,1,
2732,1,1,
2737,1,1,
2742,1,1,
2748,1,1,
2750,-1,-1,
2753,1,-1,
2759,1,1,
2760,1,1,
2762,1,1,
2768,1,1,
2785,1,1,
2793,1,1,
2795,1,1,
2796,1,1,
2799,-1,-1,
2802,1,1,
2809,-1,-1,
2815,1,1,
2820,1,1,
2824,1,1,
2836,1,1,
2840,1,1,
2862,1,1,
2864,1,1,
2874,1,1,
2880,1,1,
2881,1,1,
2890,1,1,
2896,-1,-1,
2900,1,1,
2903,1,1,
2913,1,1,
2914,-1,-1,
2917,1,1,
2919,1,-1,
2927,1,1,
2932,1,1,
2940,1,1,
2949,1,-1,
2955,1,1,
2957,1,1,
2958,1,1,
2969,1,1,
2977,1,1,
2981,1,1,
2984,1,-1,
2986,1,1,
2998,1,1,
2999,-1,-1,
3000,-1,1,
3004,1,1,
3006,1,1,
3007,1,1,
3010,1,1,
3020,1,1,
3026,1,1,
3027,1,1,
3036,1,1,
3055,1,1,
3065,1,1,
3071,1,1,
3076,1,1,
3080,1,1,
3085,1,1,
3087,1,1,
3096,-1,-1,
